solver,target,Top_K,members,test_accuracy,test_f1
ga2,solution_time,3,cb;dt;mlp,0.975609756097561,0.9482352941176471
ga2,solution_time,5,cb;dt;mlp;svm;cnn,1.0,1.0
ga2,solution_time,7,cb;dt;mlp;svm;cnn;lr;rf,1.0,1.0
ga2,optimality_gap,3,svm;lr;rf,0.9721254355400697,0.24646643109540636
ga2,optimality_gap,5,svm;lr;rf;cb;dt,0.9721254355400697,0.24646643109540636
ga2,optimality_gap,7,svm;lr;rf;cb;dt;cnn;mlp,0.9721254355400697,0.24646643109540636
ga2,peak_memory,3,dt;rf;cb,0.9860627177700348,0.905467720685112
ga2,peak_memory,5,dt;rf;cb;cnn;mlp,0.9912891986062717,0.9445378476046921
ga2,peak_memory,7,dt;rf;cb;cnn;mlp;svm;lr,0.980836236933798,0.8284005979073243
