Solver,Dataset,Accuracy,Precision,Recall,F1-Score
bb2,optimality_gap (Test) - 50e,0.8703703703703703,0.2359437751004016,0.2359437751004016,0.2359437751004016
bb2,optimality_gap (Val)  - 50e,0.8053435114503816,0.3877184753628913,0.5625,0.4222960814409746
bb2,optimality_gap (Test) - 100e,0.8518518518518519,0.23565573770491804,0.23092369477911648,0.2332657200811359
bb2,optimality_gap (Val)  - 100e,0.7805343511450382,0.32809180079750855,0.33035714285714285,0.32606516290726817
bb2,peak_memory (Test) - 50e,0.7388888888888889,0.5563666671456695,0.559526122625216,0.5534439174397998
bb2,peak_memory (Val)  - 50e,0.7595419847328244,0.7639849837723037,0.7286529832511439,0.7415570216619304
bb2,peak_memory (Test) - 100e,0.7611111111111111,0.5906374042278224,0.5761156287980553,0.5765016331442324
bb2,peak_memory (Val)  - 100e,0.7690839694656488,0.7861103274093956,0.7354835843440402,0.7534422391115442
or2,solution_time (Test) - 50e,0.975,0.9871794871794872,0.75,0.8268398268398268
or2,solution_time (Val)  - 50e,0.9459459459459459,0.4861111111111111,0.4861111111111111,0.4861111111111111
or2,solution_time (Test) - 100e,0.975,0.9871794871794872,0.75,0.8268398268398268
or2,solution_time (Val)  - 100e,0.9536679536679536,0.4862204724409449,0.49007936507936506,0.4881422924901186
or2,optimality_gap (Test) - 50e,0.9,0.23684210526315788,0.24324324324324326,0.24
or2,optimality_gap (Val)  - 50e,0.8648648648648649,0.5677083333333334,0.42943548387096775,0.4380952380952381
or2,optimality_gap (Test) - 100e,0.9,0.23684210526315788,0.24324324324324326,0.24
or2,optimality_gap (Val)  - 100e,0.8648648648648649,0.5625909752547308,0.42943548387096775,0.43542600896860983
or2,peak_memory (Test) - 50e,0.6482142857142857,0.407660687593423,0.3114299851558634,0.27004756209878067
or2,peak_memory (Val)  - 50e,0.5945945945945946,0.20007507507507505,0.2336842105263158,0.2093623709025595
or2,peak_memory (Test) - 100e,0.6714285714285714,0.4449495709769682,0.3315985721354351,0.30255857845829304
or2,peak_memory (Val)  - 100e,0.5656370656370656,0.21469907407407407,0.22698830409356724,0.2100657740192624
gurobi2,solution_time (Test) - 50e,1.0,1.0,1.0,1.0
gurobi2,solution_time (Val)  - 50e,0.9455645161290323,0.4727822580645161,0.5,0.48601036269430054
gurobi2,solution_time (Test) - 100e,1.0,1.0,1.0,1.0
