Solver,Target,Models,Weights,MAE,RMSE,R2,Top_K
greedy_min,solution_time,lr_cb_mlp_cnn_rf_svm_dt,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.0024974760185031736,0.003664898115154895,0.996593701478183,7
greedy_min,optimality_gap,cb_lr_rf,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",15.473461876553282,24.525576692399394,-0.2561543161429398,3
greedy_min,optimality_gap,cb_lr_rf_cnn_dt,"[0.2, 0.2, 0.2, 0.2, 0.2]",15.4354946568019,24.646660336657174,-0.26858829110543625,5
greedy_min,optimality_gap,cb_lr_rf_cnn_dt_svm_mlp,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",15.497547820614072,24.892220528234926,-0.29399267654888095,7
greedy_min,peak_memory,lr_rf_cnn,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.0,0.0,1.0,3
greedy_min,peak_memory,lr_rf_cnn_mlp_svm,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0.0,1.0,5
greedy_min,peak_memory,lr_rf_cnn_mlp_svm_dt,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0.0,0.0,1.0,7
ga_min,solution_time,lr_cb_cnn,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.029127508128491516,0.03656038673885719,0.9980530709936253,3
ga_min,solution_time,lr_cb_cnn_dt_rf,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.026405434256135892,0.032228258602930784,0.9984871278332855,5
ga_min,solution_time,lr_cb_cnn_dt_rf_svm_mlp,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.021570285832948972,0.02586859334098923,0.9990252927852578,7
ga_min,optimality_gap,cnn_dt_rf,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",4945620.851729335,20704533.733083785,-16.143354382015215,3
ga_min,optimality_gap,cnn_dt_rf_svm_mlp,"[0.2, 0.2, 0.2, 0.2, 0.2]",7281121.097736585,18419405.17636471,-12.568008161424277,5
ga_min,optimality_gap,cnn_dt_rf_svm_mlp_cb_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",6768266.025484562,15270827.688086042,-8.325884812686189,7
ga_min,peak_memory,cb_lr_mlp,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",144.16909894405876,339.477136023844,0.585739167414106,3
ga_min,peak_memory,cb_lr_mlp_cnn_svm,"[0.2, 0.2, 0.2, 0.2, 0.2]",147.08533812832232,415.4692287780521,0.379516064349685,5
ga_min,peak_memory,cb_lr_mlp_cnn_svm_rf_dt,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",105.06095580594457,296.7637348414656,0.6834265634437173,7
dp_min,solution_time,cb_lr_dt,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.5356192894251937,0.8265450631747976,0.9493842928982675,3
dp_min,solution_time,cb_lr_dt_cnn_rf,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.4258929139391894,0.7182000858292776,0.961784183653493,5
dp_min,solution_time,cb_lr_dt_cnn_rf_mlp_svm,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.3846307782802378,0.5977929874972694,0.9735239088143212,7
dp_min,optimality_gap,cb_cnn_rf,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.0020747580203253524,0.0051105627351301424,-313.6446501318828,3
dp_min,optimality_gap,cb_cnn_rf_dt_mlp,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.004978103074676927,0.022603385968819816,-6154.026202459288,5
dp_min,optimality_gap,cb_cnn_rf_dt_mlp_svm_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",0.04026258820333415,0.06239344969929724,-46897.71036628323,7
dp_min,peak_memory,cb_lr_mlp,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",131.5839904065209,184.49434841929354,0.8521400175269995,3
dp_min,peak_memory,cb_lr_mlp_cnn_dt,"[0.2, 0.2, 0.2, 0.2, 0.2]",84.8632291360314,114.30435931129495,0.9432442190646511,5
dp_min,peak_memory,cb_lr_mlp_cnn_dt_rf_svm,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",85.3570636564024,135.31989522880937,0.9204559275379943,7
bb_min,solution_time,lr_cb_cnn,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",4.877617707517766e-06,6.836334902056225e-06,0.9927161325345806,3
bb_min,solution_time,lr_cb_cnn_mlp_dt,"[0.2, 0.2, 0.2, 0.2, 0.2]",4.326813527321907e-06,6.332448502997932e-06,0.9937503066547544,5
bb_min,solution_time,lr_cb_cnn_mlp_dt_rf_svm,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",3.7338092544048047e-06,5.710765764245893e-06,0.9949171877323028,7
bb_min,optimality_gap,cb_lr_svm,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",5.006862558819378,8.6131111605328,0.8953057770558859,3
bb_min,optimality_gap,cb_lr_svm_cnn_mlp,"[0.2, 0.2, 0.2, 0.2, 0.2]",4.171641306242023,6.862068481212594,0.9335472880821483,5
bb_min,optimality_gap,cb_lr_svm_cnn_mlp_rf_dt,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",3.4653034447651048,6.055452975228616,0.9482517240793551,7
bb_min,peak_memory,lr_rf_cnn,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.0,0.0,1.0,3
bb_min,peak_memory,lr_rf_cnn_mlp_svm,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0,0.0,1.0,5
bb_min,peak_memory,lr_rf_cnn_mlp_svm_dt,"[0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666]",0.0,0.0,1.0,7
