Solver,Target,Models,Weights,MAE,RMSE,R2,Top_K
bb2,optimality_gap,cb_rf_dt_cnn_svm_mlp_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",1923.0295884332168,6820.776840052948,-12951369.637163462,7
bb2,peak_memory,cb_rf_svm,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",495.71091408219934,835.4051788698782,0.07733042325898287,3
bb2,peak_memory,cb_rf_svm_mlp_dt,"[0.2, 0.2, 0.2, 0.2, 0.2]",473.4955890579493,823.5535373319643,0.10332399505778245,5
bb2,peak_memory,cb_rf_svm_mlp_dt_cnn_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",883459.055823282,4106169.4010718293,-22290796.113849517,7
or2,solution_time,cb_mlp_svm,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",15.107801346624985,37.670431490093456,0.24526505006815724,3
or2,solution_time,cb_mlp_svm_rf_cnn,"[0.2, 0.2, 0.2, 0.2, 0.2]",14.466336892308966,35.59571995283149,0.3261102749338184,5
or2,solution_time,cb_mlp_svm_rf_cnn_dt_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",1930760.258742018,9433611.849559376,-47331392100.853874,7
or2,optimality_gap,cb_rf_svm,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.0006138406740845892,0.001415186200317766,0.18451439681437565,3
or2,optimality_gap,cb_rf_svm_cnn_mlp,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.0005910322062521336,0.0011897683404954852,0.4236133083976559,5
or2,optimality_gap,cb_rf_svm_cnn_mlp_dt_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",1.1609746111291175,4.580336023838279,-8542475.803527692,7
or2,peak_memory,cb_svm_cnn,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",77570.65365916933,113879.32396469367,0.10606129073719917,3
or2,peak_memory,cb_svm_cnn_mlp_rf,"[0.2, 0.2, 0.2, 0.2, 0.2]",77585.07015907858,110655.9681049063,0.1559509858205137,5
or2,peak_memory,cb_svm_cnn_mlp_rf_dt_lr,"[0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285]",262833693.07361734,1118180360.361986,-86186986.87865171,7
gurobi2,solution_time,cb_svm_cnn,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333]",0.016138577421631155,0.021133473180217632,0.313268784122096,3
gurobi2,solution_time,cb_svm_cnn_mlp_dt,"[0.2, 0.2, 0.2, 0.2, 0.2]",0.015746310522401885,0.02122287772141556,0.307446101060883,5
