Solver,Dataset,MAE,MSE,RMSE,R2,Rel_RMSE,MAPE (%)
ga2,solution_time (Test),0.21235578495937654,0.11739970383499096,0.3426364017949508,0.986580337416677,0.08252544022708783,50.03539906061392
ga2,solution_time (Val),0.18469679601657737,0.0712903034712166,0.26700244094617676,0.9894739898637583,0.07540077599642102,29.352509709987874
ga2,optimality_gap (Test),1.374252531863276,5.58189653800212,2.3626037623778813,-0.22980138812335782,1.3883285464597064,1407905396.8702672
ga2,optimality_gap (Val),1.6664003240079488,5.120945947177245,2.2629507169130405,0.4466317069923672,0.8592118200254913,1109088057.0382743
ga2,peak_memory (Test),34.42353325006314,29580.447464026394,171.9896725504947,0.8086595191970967,0.01408653908247415,0.3121593766241973
ga2,peak_memory (Val),38.04401864757474,35391.509899040335,188.12631368057032,0.7662200934403303,0.015406046390245865,0.34362542148216024
greedy2,solution_time (Test),0.00622595647258984,0.00010725572741729051,0.010356434107224866,0.9797925079669282,0.07595080015775175,48.49084379751207
greedy2,solution_time (Val),0.0056310146757508105,8.60343323737527e-05,0.009275469388324922,0.9810877969059029,0.07677801217184686,18.42873231783208
greedy2,optimality_gap (Test),1.297758323979109,5.2262468167126155,2.2860986017039195,0.14505967398895292,1.585462848876028,811850413.6679118
greedy2,optimality_gap (Val),1.5843129520093853,6.752574287435308,2.5985715859747462,0.6327707242966041,0.8780379097153084,690669136.9851785
or2,solution_time (Test),9.777245487374104,1626.7765837696963,40.33331853157754,0.13479068910069203,3.7002330346763603,3266.181756295812
or2,solution_time (Val),2.08657387641219,36.94054016497689,6.077872996779127,0.7981283738132695,1.4170896402905437,2015.9706112643328
or2,optimality_gap (Test),0.0007228692335397355,2.4310984537434397e-06,0.0015591980162068702,0.010099199901614342,3.298797189368898,3554586.031948845
or2,optimality_gap (Val),0.00030474037721864864,4.505563112318559e-07,0.0006712349150870029,0.7063392112237101,1.1910351794329088,834805.4271024067
or2,peak_memory (Test),70676.8547878576,10477364005.213135,102358.99572198399,0.27777916126327995,0.2555719408539433,27.787561002973383
or2,peak_memory (Val),71712.92670711289,8588648504.512716,92674.96158355134,0.18987126993256143,0.2258957551442788,23.65706651505576
gurobi2,solution_time (Test),0.018528550304880615,0.0005351719879806075,0.023133784558100463,0.17711639722195982,0.45301359845377076,47.20983984737154
gurobi2,solution_time (Val),0.03036549957149297,0.002964805684317366,0.05445002924073931,-0.04954995027667497,0.8336422939685478,55.677884880131586
gurobi2,peak_memory (Test),13192.20273307188,279235630.53828436,16710.345015537063,0.44444099111288526,0.0899061557313083,7.622210694647223
gurobi2,peak_memory (Val),14680.039480837182,348013099.15813595,18655.10919716462,0.11664908410106767,0.09721642138767297,7.863055942539838
dp2,solution_time (Test),110.46600885426163,22276.27400034374,149.25238356670803,0.9774087769866677,0.10864628502369753,200.86617905490064
dp2,solution_time (Val),115.01016992605335,28924.64919506841,170.07248218059385,0.9660903641020789,0.12628041973061968,146.16813489440176
dp2,optimality_gap (Test),5.5247549391268476e-05,8.713483733196176e-09,9.334604294342731e-05,-0.04276883356484218,2.847207433979214,303541.06302289595
dp2,optimality_gap (Val),7.748015345287626e-05,2.5742371078772988e-08,0.00016044429275849294,0.21513708394016662,2.3895996627855265,311298.82286359026
dp2,peak_memory (Test),299096.3059435243,131441183625.55194,362548.1811091485,-0.14482932432126505,0.678557476419275,360.2893246824973
dp2,peak_memory (Val),327419.27051496046,158273803649.97897,397836.40312316694,-0.023676233744561292,0.7263460250453433,157.64941488108698
