Solver,Dataset,MAE,MSE,RMSE,R2,Rel_RMSE,MAPE (%)
ga2,solution_time (Test),0.11678896162507373,0.0317502627946871,0.17818603423020307,0.9963707079343624,0.04291686709331753,14.594127281578823
ga2,solution_time (Val),0.1341259844399803,0.0455590754585369,0.213445720169173,0.9932732045352005,0.060276501131743786,9.598800199141763
ga2,optimality_gap (Test),1.521548498380455,6.858361992993204,2.618847455082713,-0.5110317867436469,1.538904127137829,3.3946898253048036e+16
ga2,optimality_gap (Val),2.0919637772012756,10.106445196514262,3.1790635722668807,-0.09210024563001262,1.2070474966552842,2.0788915910974996e+16
ga2,peak_memory (Test),31.048462251713808,29195.759060893033,170.86766534629373,0.8111478677626264,0.013994642876740319,0.2809290453618643
ga2,peak_memory (Val),36.03287969851942,37628.27530230201,193.98008996364038,0.751445058171643,0.015885424033972122,0.330440843976311
greedy2,solution_time (Test),0.0037700914634146362,4.2545181713366305e-05,0.006522666763936842,0.9919842842781388,0.047835167467321,15.411329763054885
greedy2,solution_time (Val),0.004567299107142853,5.8699826098583774e-05,0.007661581174834851,0.987096511332919,0.06341899779621771,10.604933226263833
greedy2,optimality_gap (Test),1.2637383335028047,5.354453379421574,2.3139691829023077,0.12408688713766192,1.604791748790359,930424469.3713679
greedy2,optimality_gap (Val),1.6274617658997494,7.223818425773792,2.6877162100515357,0.607142773201935,0.9081592116679658,727161560.36353
greedy2,peak_memory (Test),0.0,0.0,0.0,1.0,0.0,0.0
greedy2,peak_memory (Val),0.0,0.0,0.0,1.0,0.0,0.0
or2,solution_time (Test),9.828671143356688,1585.3742095952657,39.81675789909653,0.15681075011364654,3.6528430656307167,761.2926748757959
or2,solution_time (Val),2.4747723896314535,52.92232626709086,7.274773279428772,0.7107915580711694,1.6961535483225914,682.696081350156
or2,optimality_gap (Test),0.0007284827425,2.8202094217231225e-06,0.0016793479156277066,-0.14833998545389337,3.5529984815669406,3399257.623403953
or2,optimality_gap (Val),0.00024099573432432444,3.770665009593124e-07,0.0006140574085208259,0.754237942444788,1.0895797571032375,413944.04286243016
or2,peak_memory (Test),70063.39152980888,13039533045.17272,114190.7747813838,0.10116490293416647,0.2851137580302172,25.674478225370656
or2,peak_memory (Val),70571.39606345822,11899726720.562387,109085.86856491718,-0.12244790215986634,0.2658974358767381,22.892676488735393
gurobi2,solution_time (Test),0.018572211398169086,0.0009368982542277987,0.030608793740162298,-0.4405802773506966,0.5993917580469913,41.6317976375782
gurobi2,solution_time (Val),0.027326354959068717,0.0028199572620192406,0.05310326978651353,0.001726818121607132,0.8130231013528606,38.098163207314556
gurobi2,optimality_gap (Test),0.0,0.0,0.0,1.0,,0.0
gurobi2,optimality_gap (Val),0.0,0.0,0.0,1.0,,0.0
gurobi2,peak_memory (Test),13171.018142335985,307852558.29852015,17545.727636621974,0.38750559216962255,0.0944007391738797,7.66837979828523
gurobi2,peak_memory (Val),15602.6115989636,419009036.72650677,20469.710225758125,-0.06355771451609193,0.10667275940112525,8.437190349775113
dp2,solution_time (Test),112.45947711111978,26646.80717125639,163.2384978222245,0.9729764518343677,0.11882729064294571,132.28525180709002
dp2,solution_time (Val),161.43681041986034,71438.9101777967,267.2805832412761,0.9162490297899136,0.1984583502562914,47.80834917756403
dp2,optimality_gap (Test),5.328073219512215e-05,1.4376327919626972e-08,0.00011990132576259102,-0.7204584474729034,3.6571871210663907,245328.67908824678
dp2,optimality_gap (Val),6.897339575000019e-05,2.6114227114918883e-08,0.0001615989700305014,0.2037995108785856,2.4067970113005703,224001.73066570688
dp2,peak_memory (Test),304011.62696426315,140329067835.47867,374605.2159747361,-0.2222412145221535,0.7011238319488019,338.72719077711236
dp2,peak_memory (Val),319292.92446213064,153108113821.00607,391290.3190995224,0.009734184068546203,0.7143945744670135,152.12690148104903
