Solver,Dataset,MAE,MSE,RMSE,R2,Rel_RMSE,MAPE (%)
ga2,solution_time (Test),0.2460351085497228,0.4028594751543833,0.6347121199050664,0.9539501544853546,0.15287312392446925,374.557305691961
ga2,solution_time (Val),0.18149054546991075,0.060198805300395515,0.24535444829958863,0.991111649075285,0.06928744070804964,26.224863203529168
ga2,optimality_gap (Test),1.5087385412374874,6.901223331823028,2.6270179542254803,-0.5204749811186917,1.5437053288371405,3.419827393871222e+16
ga2,optimality_gap (Val),1.9524391180189655,8.064592330951987,2.8398225879360823,0.1285419260398053,1.0782422772593794,2.9048271466572056e+16
ga2,peak_memory (Test),78.49567522321429,160757.14285809654,400.9453115552002,-0.03985408078686148,0.03283878454678096,0.76655779981447
ga2,peak_memory (Val),76.8009033203125,157286.25000095367,396.59330554228177,-0.03896004813687992,0.03247783228038864,0.7500072916348776
greedy2,solution_time (Test),0.0077592078793651134,0.0001797472021285469,0.013406983334387602,0.9661347674157491,0.09832255981216681,118.55974246863687
greedy2,solution_time (Val),0.006202642316717119,8.12856876278594e-05,0.009015857564749978,0.9821316515088061,0.07462906650495894,14.768923305833564
greedy2,optimality_gap (Test),2.1656552951149335,14.035708719504644,3.7464261262574823,-1.2960441420555364,2.5982341421374335,1953114567.3025494
greedy2,optimality_gap (Val),2.00495730281423,11.554695863884039,3.3992198904872333,0.37161408191204426,1.1485709854656725,958476107.755273
greedy2,peak_memory (Test),0.0,0.0,0.0,1.0,0.0,0.0
greedy2,peak_memory (Val),0.0,0.0,0.0,1.0,0.0,0.0
or2,solution_time (Test),8.733076523897088,1473.2632172473232,38.38311109390852,0.21643754545933935,3.521318374339528,48852.63374670231
or2,solution_time (Val),2.563193962416266,50.79887970895279,7.127333281736781,0.7223957091717632,1.6617770989620164,10815.098108460996
or2,optimality_gap (Test),0.0005355939841095626,1.211379595812908e-06,0.0011006269103619574,0.5067474008419547,2.3285977282593473,1911823.4593863192
or2,optimality_gap (Val),0.0005148633481403999,1.0315318993856064e-06,0.0010156435887581855,0.32767455771893716,1.802151849952109,1781317.9077682868
or2,peak_memory (Test),80683.1955078125,14279021396.772787,119494.85929015017,0.015725061724909395,0.2983570998859796,32.863594301139976
or2,peak_memory (Val),80731.39261583012,13228930750.8614,115017.08895143104,-0.24782576254160937,0.28035481989119765,28.677382441510645
gurobi2,solution_time (Test),0.024857239333542946,0.003827166830831015,0.06186409969304504,-4.884674274657587,1.211443737044568,60.408355598739725
gurobi2,solution_time (Val),0.02949175156797294,0.002882390963366179,0.05368790332436329,-0.020374896163035894,0.8219739733802969,52.684237512252686
gurobi2,optimality_gap (Test),8.505754694326795e-13,7.234786292006231e-25,8.505754694326795e-13,0.0,inf,0.008505754694326795
gurobi2,optimality_gap (Val),8.505754694326795e-13,7.234786292006231e-25,8.505754694326795e-13,0.0,inf,0.008505754694326795
gurobi2,peak_memory (Test),13513.001033560311,338028240.156592,18385.54432581728,0.32746894185660025,0.09891917909683412,7.8297668595411345
gurobi2,peak_memory (Val),16950.1945249496,455795067.5217083,21349.357543535316,-0.1569305618998107,0.11125682071182298,9.058533149420137
dp2,solution_time (Test),133.00731277604052,74007.98603656753,272.04408840584557,0.9249456656308916,0.19803087134446476,832.8208321861915
dp2,solution_time (Val),116.07333442687988,26708.066406031,163.42602732132664,0.9686889614024974,0.12134536440251764,138.9809079783518
dp2,optimality_gap (Test),4.968909179897365e-05,1.3180332360483196e-08,0.00011480562860976458,-0.5773300579166378,3.501759998958739,272228.31233525515
dp2,optimality_gap (Val),5.3489053881381645e-05,2.33149494743732e-08,0.00015269233600404835,0.2891470961921798,2.274144803482853,135262.5335393375
dp2,peak_memory (Test),277123.0100174216,129684420916.48935,360117.2321848669,-0.12952823367574573,0.6740076299345452,255.1481698016866
dp2,peak_memory (Val),292701.2444475446,133674510443.79024,365615.2491948199,0.13542597547370305,0.6675185600509359,136.34350155259466
