Solver,Dataset,MAE,MSE,RMSE,R2,Rel_RMSE,MAPE (%)
ga2,solution_time (Test),0.3481726566467551,0.21550015674534126,0.464219944364028,0.9753667232905423,0.11180935554466291,75.44178381219959
ga2,solution_time (Val),0.2390438364037105,0.10010388915724282,0.3163919865566175,0.9852196652189624,0.08934825172713376,31.33275637225781
ga2,optimality_gap (Test),1.9687855765573488,12.457587193221492,3.5295307327209224,-1.7446510193424403,2.074045741344061,3.438508311850523e+16
ga2,optimality_gap (Val),2.2276213903269513,12.254065738514559,3.5005807716027006,-0.3241716491584783,1.3291232342955945,3.703608146630658e+16
ga2,peak_memory (Test),78.6588139018946,160728.3346204708,400.90938455026316,-0.039667735328595466,0.03283584200289645,0.767873964520143
ga2,peak_memory (Val),76.95702427455358,157259.84751961572,396.56001755045315,-0.038785645585597495,0.03247510625904523,0.7512673026039487
greedy2,solution_time (Test),0.006881514429007672,8.94673571880784e-05,0.009458718580657657,0.9831439219971517,0.0693672394600352,48.392756135462996
greedy2,solution_time (Val),0.0052959474733631495,8.28542128619684e-05,0.009102428953964342,0.9817868558096099,0.0753456641127523,12.051642368267993
greedy2,optimality_gap (Test),1.4750781261416088,6.509853208193262,2.5514413981499287,-0.06492024186443035,1.7694842842018987,944365915.4586878
greedy2,optimality_gap (Val),1.6996815911330463,7.291801471660336,2.7003335852557804,0.6034456106623862,0.9124225284109883,1639455201.2954962
greedy2,peak_memory (Test),0.0,0.0,0.0,1.0,0.0,0.0
greedy2,peak_memory (Val),0.0,0.0,0.0,1.0,0.0,0.0
or2,solution_time (Test),11.05338106390526,1933.410808672711,43.97056752729843,-0.028294266186591477,4.03391916265447,7430.779463406291
or2,solution_time (Val),2.070374743256132,29.810025632029355,5.459855825205401,0.8370950093276838,1.272995525158013,6969.724184917267
or2,optimality_gap (Test),0.000578392966292272,1.0369433876705938e-06,0.0010183041724703842,0.5777747760353857,2.154427408931643,2803133.9065023684
or2,optimality_gap (Val),0.0006522153214345231,1.8822853060708099e-06,0.0013719640323531844,-0.22682420355294486,2.4344046930834518,3074724.9478022875
or2,peak_memory (Test),86532.4328125,15376351749.181654,124001.41833536282,-0.05991560963991738,0.30960916457881954,34.26417140944032
or2,peak_memory (Val),96716.09507722007,15752025257.773191,125507.07254084604,-0.4858179620885563,0.3059242155930306,32.01566160757265
gurobi2,solution_time (Test),0.01852151005916744,0.0007594711065558722,0.027558503343902262,-0.16776724941583976,0.5396599391883738,46.74132958714877
gurobi2,solution_time (Val),0.028424383161939234,0.0029946007233035317,0.054722945126368445,-0.06009748189125452,0.8378206980599474,45.52073722816341
gurobi2,optimality_gap (Test),5.0282579877602984e-08,2.5283378391475245e-15,5.0282579877602984e-08,0.0,inf,502.82579877602984
gurobi2,optimality_gap (Val),5.0282579877602984e-08,2.5283378391475245e-15,5.0282579877602984e-08,0.0,inf,502.82579877602984
gurobi2,peak_memory (Test),15344.023285505837,419277173.7047846,20476.25878193535,0.16581845009036322,0.11016778583156511,8.882718575613968
gurobi2,peak_memory (Val),17578.072297127015,501067640.1638484,22384.540204432353,-0.2718445367050042,0.11665141544248661,9.368033456682506
dp2,solution_time (Test),103.78819037758431,20272.283830827047,142.3807705795521,0.9794411002035297,0.10364418585895349,199.80964361886345
dp2,solution_time (Val),104.57816491655623,21208.612046729813,145.63176867266912,0.9751362131462777,0.10813295977281627,286.91150523831254
dp2,optimality_gap (Test),6.05110833518046e-05,1.846050200582314e-08,0.0001358694299900575,-1.2092238573070198,4.1442404939721005,324339.8923823727
dp2,optimality_gap (Val),7.608631314767376e-05,3.135007725295346e-08,0.00017705953025170225,0.04416291039547371,2.6370610416121205,205283.3066609642
dp2,peak_memory (Test),337986.22814133274,218922542681.42175,467891.59287320153,-0.9067763976521552,0.8757217800032233,387.4841871248148
dp2,peak_memory (Val),410372.10234375,234206078206.4004,483948.4251512762,-0.5147876055889808,0.8835642293567525,160.31638202130492
