Solver,Dataset,MAE,MSE,RMSE,R2,Rel_RMSE,MAPE (%)
ga2,solution_time (Test),0.397911767746681,0.30058384304788044,0.5482552717921465,0.965641022762965,0.13204962293686834,231.19034237638286
ga2,solution_time (Val),0.35513594205477994,0.30588813508732404,0.5530715460836184,0.9548356304615085,0.15618592702173684,72.23363766046693
ga2,optimality_gap (Test),2.625004649821444,17.02041447827312,4.125580501974616,-2.7499314452193513,2.424300372671982,4901824488.679929
ga2,optimality_gap (Val),2.5605856913146545,10.52152783777517,3.2436904657773944,-0.1369539845721821,1.231585455162622,2069857035.1753776
ga2,peak_memory (Test),177.1716271241632,142692.7153960004,377.7468932976159,0.07699527520175697,0.030938755198558886,1.55450697760891
ga2,peak_memory (Val),176.7350665064133,140729.02266770724,375.1386712506553,0.07040931954185026,0.030720868649326463,1.54859850149984
greedy2,solution_time (Test),0.0032007095411990976,3.453788029640142e-05,0.005876893762558706,0.9934928981627865,0.04309927327177678,31.739280761540638
greedy2,solution_time (Val),0.0027833035440003864,3.0538686504920475e-05,0.005526181910227031,0.9932869376041765,0.0457431580229574,5.675503834037555
greedy2,optimality_gap (Test),1.8541220956005793,7.5997120392727995,2.756757522756182,-0.24320578730968956,1.9118758186684315,2986979029.8642774
greedy2,optimality_gap (Val),2.444517428235596,11.9076901869648,3.4507521190263435,0.35241698106214114,1.1659833401891924,3744643270.2954373
greedy2,peak_memory (Test),0.0,0.0,0.0,1.0,0.0,0.0
greedy2,peak_memory (Val),0.0,0.0,0.0,1.0,0.0,0.0
or2,solution_time (Test),12.031121520573652,1634.4815425410331,40.428721752499584,0.13069276801210095,3.708985454822347,102994.48720493642
or2,solution_time (Val),7.334547131650756,176.2456159271121,13.275752932587745,0.03685790904540498,3.095315081081246,67497.71925260445
or2,optimality_gap (Test),0.0012102263735188717,5.093676698096843e-06,0.0022569175213323243,-1.0740561251743892,4.7749632173856575,8384343.7704088865
or2,optimality_gap (Val),0.0008692182535274124,1.6916952378275516e-06,0.0013006518511221794,-0.10260259489271095,2.307868789394334,5969144.629608445
or2,peak_memory (Test),82436.63550713671,17663904736.491276,132905.62341936957,-0.21760016047993935,0.3318413578416575,33.71871468224284
or2,peak_memory (Val),124916.48085866118,42801606544.69292,206885.49138277656,-3.037283763176374,0.50428458243464,44.685579983119965
gurobi2,solution_time (Test),0.021771016791713622,0.0006965984416726832,0.02639315141609056,-0.07109386934870221,0.5168396233443688,57.53300862653548
gurobi2,solution_time (Val),0.03243225596832231,0.0029568667028922898,0.05437707883743195,-0.04673952745402232,0.832525406752745,53.50113112295228
gurobi2,optimality_gap (Test),0.0,0.0,0.0,1.0,,0.0
gurobi2,optimality_gap (Val),0.0,0.0,0.0,1.0,,0.0
gurobi2,peak_memory (Test),15788.842390531649,421216233.2720575,20523.55313468059,0.16196055412883936,0.11042224218415218,9.032548601558979
gurobi2,peak_memory (Val),18006.420105905167,576426352.6797783,24008.88070443473,-0.46312523241141124,0.1251162584437431,9.496747415905855
dp2,solution_time (Test),553.289008262047,3123176.3318642164,1767.2510664487422,-2.1673327874318975,1.286446879342514,5322.234424011802
dp2,solution_time (Val),515.9166005910276,1718953.4868881681,1311.0886647699188,-1.0152046260867973,0.9734956811848946,648.0955133298426
dp2,optimality_gap (Test),0.0001185678645447483,3.456009613431978e-08,0.00018590345917792866,-3.135910760535081,5.670360459678375,967475.3011753402
dp2,optimality_gap (Val),0.00013487866167601832,3.951705995022751e-08,0.00019878898347299709,-0.20484141929808475,2.960691712403752,815996.672603211
dp2,peak_memory (Test),319738.5650972784,182290186528.70938,426954.5485513761,-0.5877150929238175,0.7991026189248258,349.51676175755216
dp2,peak_memory (Val),505349.65501889173,560324818224.7025,748548.4741983665,-2.6240438175249836,1.3666552495433995,230.97764214571978
